"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"FBtr0330696",711.984715163928,1.74875847486073,0.271845043769689,6.43292388417537,1.25172343000083e-10,5.80729151890528e-09,"CG43755"
"FBtr0343370",37.0227135465352,1.65809899579896,0.258116975107162,6.42382778238655,1.32889542315726e-10,6.12221192151049e-09,"mgl"
"FBtr0306807",66.7888128519323,1.40629168169917,0.219629059975459,6.40303100990512,1.52322239764007e-10,6.96874246920333e-09,"Pdk"
"FBtr0332524",15.5362105352888,2.08367087179511,0.326936536427722,6.37331909905932,1.84980441526321e-10,8.40449068120969e-09,"lncRNA:CR43857"
"FBtr0345426",48.0354141666428,1.24642067551207,0.195668156939641,6.37007418583987,1.88936789664419e-10,8.52544911170677e-09,"MFS14"
"FBtr0334627",36.8999877558755,1.48559769298515,0.233552415092867,6.36087489137901,2.0060779478249e-10,8.99050443555811e-09,"apolpp"
"FBtr0072800",122.812766236831,1.02056788967942,0.160629376920753,6.35355692242349,2.10392282158527e-10,9.36529969500254e-09,"CG18171"
"FBtr0336871",7.5965631343166,3.50226520443313,0.552833319707137,6.33511960944838,2.37157222380647e-10,1.04858508794879e-08,"Tsp42Ee"
"FBtr0080200",26.9063101719439,1.97912400515661,0.313501333506315,6.31296837886258,2.73733445480364e-10,1.20223729254976e-08,"CG4751"
"FBtr0303874",32.6298207466787,1.49643964740306,0.23730009606225,6.30610637009813,2.86142419337698e-10,1.24841474079255e-08,"Apoltp"
"FBtr0112420",497.771387467698,2.09946475083524,0.333560977557493,6.29409580883413,3.09196816731422e-10,1.34012409778066e-08,"CG34227"
"FBtr0310102",30.6922506728513,1.90608978565678,0.303064287541836,6.28939094446637,3.18713911771091e-10,1.37234460833199e-08,"lncRNA:CR43650"
"FBtr0077547",39.1128852518165,1.77860682547854,0.283131776922549,6.28190464811402,3.34449965507886e-10,1.43075089140646e-08,"CG16713"
"FBtr0299657",61.232234965111,1.39661497339351,0.222617568454625,6.27360627055891,3.52779944366931e-10,1.49942856354151e-08,"bun"
"FBtr0087785",65.7410132484849,1.54170274736504,0.246223982300795,6.26138336712322,3.81577158266626e-10,1.61142969144906e-08,"vg"
"FBtr0340450",104.667335807626,0.946278002850132,0.151223527585162,6.25747870031159,3.91251070115411e-10,1.64175926746518e-08,"ena"
"FBtr0073372",104.689543482394,1.34346212687524,0.215191957078795,6.2430870796129,4.29017892638853e-10,1.77759111742438e-08,"ATPsynCF6L"
"FBtr0087934",55.1496076816645,1.29583220157519,0.207559177054776,6.24319396503104,4.28724699926594e-10,1.77759111742438e-08,"CG8545"
"FBtr0087250",23.721085215026,-3.53634861236542,0.567272571955586,-6.23394958119408,4.54819520108042e-10,1.87060083157559e-08,"CG10734"
"FBtr0307365",44.0221461571543,1.88966971603003,0.303164425303023,6.23315124834072,4.5714440480217e-10,1.87060083157559e-08,"lncRNA:CR34335"
"FBtr0088215",65.2065637906777,-1.26563912299562,0.204584749765222,-6.18638058041005,6.15612804221218e-10,2.50349207049962e-08,"CAH13"
"FBtr0071240",168.771712707912,1.05985595357211,0.17159618185494,6.17645417348544,6.55572263604859e-10,2.64963808136737e-08,"CG12116"
"FBtr0075735",34.9465536554003,-1.85253856578554,0.30043121432474,-6.16626527955616,6.99217439329002e-10,2.80880761603626e-08,"saturn"
"FBtr0076685",82.8896673957727,1.03681151301112,0.168747006809445,6.14417720713662,8.03790678582751e-10,3.17150848543564e-08,"msk"
"FBtr0083775",33.4921256888298,-1.90120187624331,0.309371375765593,-6.14537098507728,7.97768341888385e-10,3.17150848543564e-08,"CG3581"
"FBtr0340020",117.450829135879,0.967026141701376,0.157389841611737,6.14414584701675,8.03949479459246e-10,3.17150848543564e-08,"CG8405"
"FBtr0100265",77.2849350451534,1.18675274043072,0.19322598885752,6.14178634793172,8.15985647412567e-10,3.18089552967692e-08,"peb"
"FBtr0306749",14.3327432038012,2.30919212257017,0.375936937238493,6.14249863163946,8.12333778390976e-10,3.18089552967692e-08,"cnc"
"FBtr0299579",12.5741451718307,2.22262299071119,0.362890067118787,6.12478321150534,9.08071586513879e-10,3.51904447761967e-08,"Tlk"
"FBtr0084601",167.631622235173,1.32586837435175,0.216643513695456,6.12004648436222,9.3548063586967e-10,3.60406223924525e-08,"CG6356"
"FBtr0077057",9.85918406326287,2.76030235816721,0.451770518336269,6.10996567091749,9.96525731994954e-10,3.81304036669252e-08,"Lcp65Af"
"FBtr0081088",412.588714842768,1.46681526115088,0.240099284957021,6.10920295499194,1.00129930697906e-09,3.81304036669252e-08,"ncm"
"FBtr0100870",43.8220353998287,1.87361949537352,0.306845691413436,6.10606421339334,1.0211793694115e-09,3.86639637108216e-08,"mt:ND3"
"FBtr0074974",65.5320049739347,1.09580343281676,0.17958491410863,6.10186795620213,1.04835968684086e-09,3.94662492394717e-08,"Ltn1"
"FBtr0331399",13.7443085838712,2.05502931715919,0.336909958562835,6.09963957707092,1.06307896673374e-09,3.97929785956924e-08,"CG11350"
"FBtr0073046",172.095233658231,1.66356895284652,0.273180083897057,6.08964214782733,1.13163348854097e-09,4.21197820480674e-08,"Larp4B"
"FBtr0076093",13.6381908540297,2.08461411408407,0.343457066935817,6.06950421105656,1.28305727866175e-09,4.74590001555687e-08,"chrb"
"FBtr0077588",30.9440576763574,-1.9613281171211,0.323187472745444,-6.06870093218594,1.2894901378031e-09,4.74590001555687e-08,"CG8838"
"FBtr0071766",160.36942157722,1.3338076501388,0.220212923521486,6.05689997121655,1.38769819580746e-09,5.07897539665529e-08,"gom"
"FBtr0346010",9.17987072458448,2.8991854578002,0.479248381976781,6.04944234937587,1.45348064690061e-09,5.29034834352553e-08,"lncRNA:CR45480"
"FBtr0084475",29.6650867004821,-2.18623153271347,0.361581526789701,-6.04630317296328,1.48207093550853e-09,5.36477105666493e-08,"CG10252"
"FBtr0304957",388.427070642701,1.24511352774763,0.206107621043469,6.04108436866112,1.53081902063644e-09,5.5109484742912e-08,"Not1"
"FBtr0081902",24.9878015604846,-2.42187929629656,0.402837771198519,-6.0120462117815,1.83196079264777e-09,6.55921614237148e-08,"CG8043"
"FBtr0333328",450.732886941062,1.11867240967577,0.186485371727456,5.99871399731384,1.98886293431623e-09,7.08250216825693e-08,"CycG"
"FBtr0073542",25.8939602894097,1.73836846731297,0.290688468558838,5.98017690874143,2.22895412857725e-09,7.89481171992844e-08,"RpII215"
"FBtr0085131",86.3395842909321,1.48876887693197,0.249842543214316,5.95882853968106,2.54052475705401e-09,8.9502551334074e-08,"CG6066"
"FBtr0075936",21.8738524282219,1.64559862538801,0.276353477565455,5.95468759751085,2.6056908389191e-09,9.13100598233992e-08,"CG10943"
"FBtr0081599",57.3580000110662,1.51475668834093,0.254540990734098,5.95093420502672,2.66616256863304e-09,9.29348095352089e-08,"CG1234"
"FBtr0089931",6.44101149319613,3.86697286244497,0.650100332842248,5.94827085465178,2.70989912965747e-09,9.39621866641231e-08,"Rab32"
"FBtr0078344",41.7721658565453,-1.56747474640472,0.263685416279161,-5.94448782387436,2.77322581635042e-09,9.51563108235238e-08,"CG32437"
"FBtr0086736",39.1682535791651,1.38985568110374,0.233778151684274,5.94519064801571,2.7613527815294e-09,9.51563108235238e-08,"pAbp"
